,spin_landing,time,session_spin_count
0, 1 ,2020-10-24 21:56:30.154997,1
1, 9 ,2020-10-24 21:56:34.281038,2
2, 9 ,2020-10-24 21:56:34.825853,3
3,29,2020-10-24 21:56:38.070590,4
4,25,2020-10-24 21:56:42.816627,5
5,28,2020-10-24 21:56:48.669452,6
6,21,2020-10-24 21:56:55.473139,7
7,34,2020-10-24 21:57:03.707867,8
8,13,2020-10-24 21:57:06.544772,9
9,21,2020-10-24 21:57:10.244453,10
10,11,2020-10-24 21:57:13.302317,11
11,23,2020-10-24 21:57:15.239147,12
12,14,2020-10-24 21:57:18.631354,13
13, 9 ,2020-10-24 21:57:21.233972,14
14,24,2020-10-24 21:57:25.991261,15
15,13,2020-10-24 21:57:39.221240,16
16, 6 ,2020-10-24 21:57:44.472047,17
17,36,2020-10-24 21:57:48.537917,18
18,16,2020-10-24 21:57:51.207504,19
19,25,2020-10-24 21:57:54.270641,20
20,36,2020-10-24 21:57:56.995698,21
21,11,2020-10-24 21:57:59.306872,22
22,10,2020-10-24 21:58:00.982412,23
23,25,2020-10-24 21:58:03.221981,24
24,36,2020-10-24 21:58:07.801472,25
25,28,2020-10-24 21:58:09.881261,26
26, 8 ,2020-10-24 21:58:13.800013,27
27,17,2020-10-24 21:58:16.223702,28
28,35,2020-10-24 21:58:18.407804,29
29,25,2020-10-24 21:58:21.324623,30
30,32,2020-10-24 21:58:32.764655,31
31,20,2020-10-24 21:58:36.049901,32
32, 9 ,2020-10-24 21:58:38.438457,33
33, 9 ,2020-10-24 21:58:39.179310,34
34,17,2020-10-24 21:58:45.105997,35
35,35,2020-10-24 21:58:47.418417,36
36,25,2020-10-24 21:58:51.005575,37
37,10,2020-10-24 21:58:53.591066,38
38,27,2020-10-24 21:58:55.712573,39
39,13,2020-10-24 21:58:57.736831,40
40,18,2020-10-24 21:59:14.932755,41
41,10,2020-10-24 21:59:16.610458,42
42,32,2020-10-24 21:59:19.743385,43
43,26,2020-10-24 21:59:23.002915,44
44,10,2020-10-24 21:59:26.531750,45
45, 7 ,2020-10-24 21:59:29.102645,46
46,29,2020-10-24 21:59:32.302236,47
47,31,2020-10-24 21:59:34.930675,48
48, 2 ,2020-10-24 21:59:37.599869,49
49,15,2020-10-24 21:59:39.807574,50
50,36,2020-10-24 21:59:43.221190,51
51,13,2020-10-24 21:59:52.311832,52
52,16,2020-10-24 21:59:53.846442,53
53, 5 ,2020-10-24 21:59:55.532071,54
54,28,2020-10-24 21:59:57.341122,55
55, 8 ,2020-10-24 21:59:58.883664,56
56,32,2020-10-24 22:00:01.942926,57
57,17,2020-10-24 22:00:04.912479,58
58,35,2020-10-24 22:00:07.198383,59
59,20,2020-10-24 22:00:11.753882,60
60,22,2020-10-24 22:00:13.754751,61
61,33,2020-10-24 22:00:16.995217,62
62,32,2020-10-24 22:00:24.754217,63
63, 4 ,2020-10-24 22:00:33.756868,64
64, 0 ,2020-10-24 22:00:35.270464,65
65,11,2020-10-24 22:00:38.660592,66
66,33,2020-10-24 22:00:41.473385,67
67, 5 ,2020-10-24 22:00:43.471300,68
68,22,2020-10-24 22:00:46.033572,69
69,25,2020-10-24 22:00:48.062536,70
70,11,2020-10-24 22:00:50.877500,71
71,27,2020-10-24 22:00:53.585833,72
72, 5 ,2020-10-24 22:00:55.966634,73
73, 8 ,2020-10-24 22:00:57.729620,74
74,25,2020-10-24 22:01:02.502001,75
75,30,2020-10-24 22:01:06.305535,76
76, 3 ,2020-10-24 22:01:08.021305,77
77, 3 ,2020-10-24 22:01:08.751282,78
78, 4 ,2020-10-24 22:01:09.951751,79
79,27,2020-10-24 22:01:12.069631,80
80,35,2020-10-24 22:01:15.640062,81
81,29,2020-10-24 22:01:17.474037,82
82, 7 ,2020-10-24 22:01:20.117977,83
83, 2 ,2020-10-24 22:01:24.501704,84
84, 5 ,2020-10-24 22:01:25.535891,85
85, 2 ,2020-10-24 22:01:27.986529,86
86,15,2020-10-24 22:01:29.999992,87
87, 5 ,2020-10-24 22:01:34.848616,88
88,34,2020-10-24 22:01:37.487729,89
89,16,2020-10-24 22:01:39.518414,90
90,11,2020-10-24 22:01:42.009552,91
91,31,2020-10-24 22:01:45.860686,92
92,21,2020-10-24 22:01:47.680433,93
93,34,2020-10-24 22:01:59.875573,94
94, 6 ,2020-10-24 22:02:02.290433,95
95,27,2020-10-24 22:02:04.108460,96
96,25,2020-10-24 22:02:06.542430,97
97,35,2020-10-24 22:02:08.547804,98
98,34,2020-10-24 22:02:45.058612,99
