,spin_landing,time,session_spin_count
0,22,2020-10-21 22:18:32.729739,1
1,21,2020-10-21 22:18:42.793452,2
2,34,2020-10-21 22:18:46.075454,3
3, 9 ,2020-10-21 22:18:48.868466,4
4,19,2020-10-21 22:18:53.061674,5
5,12,2020-10-21 22:18:55.445690,6
6,20,2020-10-21 22:18:58.209802,7
7,33,2020-10-21 22:18:59.994936,8
8,29,2020-10-21 22:19:03.511815,9
9,33,2020-10-21 22:19:14.059439,10
10,22,2020-10-21 22:19:18.775658,11
11,34,2020-10-21 22:19:23.341519,12
12,19,2020-10-21 22:19:26.522157,13
13,29,2020-10-21 22:19:30.457166,14
14,23,2020-10-21 22:19:34.106085,15
15,34,2020-10-21 22:19:37.290314,16
16,29,2020-10-21 22:19:39.556519,17
17,14,2020-10-21 22:19:41.815316,18
18,33,2020-10-21 22:20:10.554840,19
19,26,2020-10-21 22:20:14.339164,20
20,29,2020-10-21 22:20:18.881487,21
21,12,2020-10-21 22:20:21.186913,22
22,10,2020-10-21 22:20:25.161578,23
23,15,2020-10-21 22:20:27.934726,24
24, 7 ,2020-10-21 22:20:30.434599,25
25,13,2020-10-21 22:20:33.296587,26
26,32,2020-10-21 22:20:41.819340,27
27, 3 ,2020-10-21 22:20:43.475856,28
28,16,2020-10-21 22:20:47.227388,29
29,21,2020-10-21 22:20:49.834601,30
30,35,2020-10-21 22:20:59.847440,31
31,34,2020-10-21 22:21:00.880438,32
32, 6 ,2020-10-21 22:21:02.378643,33
33,21,2020-10-21 22:21:07.734994,34
34, 9 ,2020-10-21 22:21:09.102617,35
35,33,2020-10-21 22:21:13.023494,36
36,17,2020-10-21 22:21:14.104799,37
37,23,2020-10-21 22:21:18.853796,38
38,22,2020-10-21 22:21:22.693530,39
39,24,2020-10-21 22:21:24.285405,40
40, 4 ,2020-10-21 22:21:26.178419,41
41,18,2020-10-21 22:21:32.087703,42
42, 9 ,2020-10-21 22:21:39.174285,43
43,26,2020-10-21 22:21:44.476747,44
44,36,2020-10-21 22:21:47.935925,45
45,28,2020-10-21 22:21:57.169811,46
46,14,2020-10-21 22:22:03.225022,47
47, 7 ,2020-10-21 22:22:05.352778,48
48,23,2020-10-21 22:22:10.887860,49
49, 3 ,2020-10-21 22:22:12.914708,50
50,24,2020-10-21 22:22:15.539174,51
51,29,2020-10-21 22:22:22.812449,52
52, 1 ,2020-10-21 22:22:24.402224,53
53, 7 ,2020-10-21 22:22:27.321522,54
54,22,2020-10-21 22:22:29.114545,55
55,26,2020-10-21 22:22:35.323040,56
56, 0 ,2020-10-21 22:22:37.006682,57
57, 8 ,2020-10-21 22:22:39.368173,58
58, 1 ,2020-10-21 22:22:40.976665,59
59, 1 ,2020-10-21 22:22:41.656010,60
60, 4 ,2020-10-21 22:22:42.624328,61
61,36,2020-10-21 22:22:50.674170,62
62, 2 ,2020-10-21 22:23:14.313445,63
63,17,2020-10-21 22:23:16.757865,64
64,24,2020-10-21 22:23:18.951644,65
65,10,2020-10-21 22:23:22.281084,66
66,27,2020-10-21 22:23:27.728023,67
67, 5 ,2020-10-21 22:23:35.375368,68
68, 3 ,2020-10-21 22:23:37.451020,69
69,17,2020-10-21 22:23:39.808537,70
70,30,2020-10-21 22:23:42.266237,71
71,10,2020-10-21 22:23:56.064509,72
72, 0 ,2020-10-21 22:23:57.987628,73
73, 8 ,2020-10-21 22:24:00.318613,74
74,21,2020-10-21 22:24:03.068095,75
75,19,2020-10-21 22:24:04.969614,76
76,35,2020-10-21 22:24:07.432347,77
77,20,2020-10-21 22:24:09.396234,78
78,33,2020-10-21 22:24:11.462980,79
79,28,2020-10-21 22:24:14.681184,80
80, 4 ,2020-10-21 22:24:16.590691,81
81, 3 ,2020-10-21 22:24:18.314891,82
82,34,2020-10-21 22:24:20.319584,83
83,29,2020-10-21 22:24:22.593859,84
84,14,2020-10-21 22:24:24.628202,85
85,28,2020-10-21 22:24:27.968969,86
86,26,2020-10-21 22:24:35.332463,87
87,16,2020-10-21 22:24:43.441546,88
88,31,2020-10-21 22:24:47.265985,89
89,30,2020-10-21 22:24:49.386393,90
90,10,2020-10-21 22:24:51.462426,91
91,15,2020-10-21 22:24:54.097785,92
92,23,2020-10-21 22:24:55.696545,93
93,17,2020-10-21 22:24:58.533284,94
94, 5 ,2020-10-21 22:25:00.514537,95
95, 7 ,2020-10-21 22:25:03.557688,96
96,26,2020-10-21 22:25:05.220155,97
97,21,2020-10-21 22:25:07.752541,98
98,29,2020-10-21 22:25:11.917826,99
99, 3 ,2020-10-21 22:25:14.189398,100
100,19,2020-10-21 22:25:19.202403,101
101,13,2020-10-21 22:25:24.874021,102
102,13,2020-10-21 22:25:25.499720,103
