,spin_landing,time,session_spin_count
0, 0 ,2020-10-21 16:52:29.647678,1
1,17,2020-10-21 16:52:31.778908,2
2,25,2020-10-21 16:52:35.008959,3
3,36,2020-10-21 16:52:38.897952,4
4,13,2020-10-21 16:52:43.175609,5
5,25,2020-10-21 16:52:45.409751,6
6,19,2020-10-21 16:52:49.398039,7
7,24,2020-10-21 16:52:52.241051,8
8, 3 ,2020-10-21 16:52:55.505900,9
9, 9 ,2020-10-21 16:52:57.637880,10
10,33,2020-10-21 16:53:01.050018,11
11, 2 ,2020-10-21 16:53:03.440572,12
12,23,2020-10-21 16:53:06.337417,13
13,36,2020-10-21 16:53:14.786848,14
14,11,2020-10-21 16:53:17.892178,15
15, 8 ,2020-10-21 16:53:20.047634,16
16,25,2020-10-21 16:53:23.562376,17
17, 9 ,2020-10-21 16:53:27.216598,18
18,11,2020-10-21 16:53:29.429108,19
19,13,2020-10-21 16:53:32.394607,20
20, 5 ,2020-10-21 16:53:34.779976,21
21,15,2020-10-21 16:53:36.537541,22
22, 1 ,2020-10-21 16:53:38.370744,23
23,18,2020-10-21 16:53:43.963704,24
24,36,2020-10-21 16:53:50.654364,25
25,25,2020-10-21 16:53:54.761403,26
26,16,2020-10-21 16:55:39.228205,27
27,17,2020-10-21 16:55:46.215525,28
28,29,2020-10-21 16:55:48.505971,29
29,36,2020-10-21 16:55:51.801527,30
30,28,2020-10-21 16:55:53.717571,31
31,35,2020-10-21 16:55:55.109849,32
32, 9 ,2020-10-21 16:55:58.767494,33
33,12,2020-10-21 16:56:03.998100,34
34,33,2020-10-21 16:56:07.218217,35
35,35,2020-10-21 16:56:09.949069,36
36,11,2020-10-21 16:56:15.286500,37
37,11,2020-10-21 16:56:16.600903,38
38,12,2020-10-21 16:56:22.821172,39
39, 3 ,2020-10-21 16:56:24.622114,40
40, 0 ,2020-10-21 16:56:31.255631,41
41,35,2020-10-21 16:56:35.094053,42
42,18,2020-10-21 16:57:52.809123,43
43,21,2020-10-21 16:57:56.660609,44
44,26,2020-10-21 16:57:59.799084,45
45, 1 ,2020-10-21 16:58:01.398826,46
46,29,2020-10-21 16:58:03.498937,47
47, 7 ,2020-10-21 16:58:05.682083,48
48,29,2020-10-21 16:58:10.362638,49
49,15,2020-10-21 16:58:15.878428,50
50,20,2020-10-21 16:58:18.110136,51
51,12,2020-10-21 16:58:21.068062,52
52, 8 ,2020-10-21 16:58:25.675743,53
53,13,2020-10-21 16:58:29.680068,54
54,14,2020-10-21 16:58:31.985386,55
55,33,2020-10-21 16:58:34.213818,56
56,32,2020-10-21 16:58:36.844178,57
57, 5 ,2020-10-21 16:58:39.192032,58
58,33,2020-10-21 16:58:41.822540,59
59,25,2020-10-21 16:58:47.468624,60
60,33,2020-10-21 16:58:50.141736,61
61, 1 ,2020-10-21 16:58:52.121891,62
62, 1 ,2020-10-21 16:58:53.027776,63
63,35,2020-10-21 16:58:56.428516,64
64, 0 ,2020-10-21 16:58:59.072902,65
65, 9 ,2020-10-21 16:59:06.840362,66
66, 2 ,2020-10-21 16:59:09.367355,67
67,21,2020-10-21 16:59:11.929784,68
68,11,2020-10-21 16:59:14.810231,69
69,28,2020-10-21 17:00:07.066500,70
70,31,2020-10-21 17:00:11.551697,71
71,33,2020-10-21 17:00:20.748026,72
72,16,2020-10-21 17:00:26.175697,73
73, 8 ,2020-10-21 17:00:31.371717,74
74,24,2020-10-21 17:00:34.057373,75
75,33,2020-10-21 17:00:37.265449,76
76,21,2020-10-21 17:00:41.247323,77
77,27,2020-10-21 17:00:43.476352,78
78,27,2020-10-21 17:00:45.113724,79
79,19,2020-10-21 17:00:51.555874,80
80, 0 ,2020-10-21 17:00:53.577951,81
81, 6 ,2020-10-21 17:00:57.382242,82
82,36,2020-10-21 17:01:06.358655,83
83,20,2020-10-21 17:01:10.871566,84
84, 7 ,2020-10-21 17:01:12.271164,85
85, 5 ,2020-10-21 17:01:14.097651,86
86,13,2020-10-21 17:01:15.893591,87
87, 4 ,2020-10-21 17:01:17.946331,88
88,24,2020-10-21 17:01:47.809639,91
89,34,2020-10-21 17:01:55.911601,92
90, 1 ,2020-10-21 17:02:03.430377,93
91,32,2020-10-21 17:02:25.083115,94
92, 9 ,2020-10-21 17:02:27.727685,95
93,32,2020-10-21 17:02:30.754335,96
94,22,2020-10-21 17:02:35.099319,97
95,21,2020-10-21 17:02:36.765598,98
96,15,2020-10-21 17:02:38.144725,99
97, 6 ,2020-10-21 17:02:55.245219,101
98,30,2020-10-21 17:03:08.536406,102
99,14,2020-10-21 17:03:10.720910,103
100,11,2020-10-21 17:03:12.321705,104
101, 4 ,2020-10-21 17:03:31.839030,105
102,21,2020-10-21 17:03:36.461331,106
103, 7 ,2020-10-21 17:03:38.426491,107
104,30,2020-10-21 17:03:42.733576,108
105,15,2020-10-21 17:03:45.035857,109
106,15,2020-10-21 17:03:47.613358,110
107,19,2020-10-21 17:03:52.191554,111
108, 5 ,2020-10-21 17:03:56.393296,112
109,17,2020-10-21 17:03:58.864125,113
110,21,2020-10-21 17:04:01.752983,114
111,34,2020-10-21 17:04:04.359556,115
112,20,2020-10-21 17:04:07.335181,116
113, 2 ,2020-10-21 17:04:10.593343,117
114,31,2020-10-21 17:04:13.860641,118
115,13,2020-10-21 17:04:17.819066,119
116,28,2020-10-21 17:04:43.187082,120
117, 4 ,2020-10-21 17:04:49.486939,121
118,29,2020-10-21 17:04:51.423467,122
119,32,2020-10-21 17:04:56.910031,123
120,32,2020-10-21 17:05:03.704779,124
121,16,2020-10-21 17:05:06.437731,125
122, 6 ,2020-10-21 17:05:08.672715,126
123,31,2020-10-21 17:05:10.897912,127
124,15,2020-10-21 17:05:13.369422,128
125,11,2020-10-21 17:05:15.988717,129
126,10,2020-10-21 17:05:18.249272,130
127, 3 ,2020-10-21 17:05:20.575598,131
128, 9 ,2020-10-21 17:05:22.952405,132
129,27,2020-10-21 17:05:24.534331,133
130, 1 ,2020-10-21 17:05:30.320716,134
131,11,2020-10-21 17:05:32.188279,135
132,32,2020-10-21 17:05:36.203940,136
133, 1 ,2020-10-21 17:05:41.435344,137
134,13,2020-10-21 17:05:44.466677,138
135,36,2020-10-21 17:05:48.647103,139
136, 6 ,2020-10-21 17:05:57.247178,140
137, 4 ,2020-10-21 17:06:00.884011,141
138, 4 ,2020-10-21 17:06:01.836240,142
139,22,2020-10-21 17:06:04.986404,143
140,34,2020-10-21 17:06:08.650392,144
141,15,2020-10-21 17:06:14.467901,145
142,12,2020-10-21 17:06:18.603293,146
143, 5 ,2020-10-21 17:06:23.223532,147
144, 5 ,2020-10-21 17:06:23.899156,148
145,34,2020-10-21 17:06:26.479619,149
146, 0 ,2020-10-21 17:06:28.216412,150
147,31,2020-10-21 17:06:29.801224,151
148,32,2020-10-21 17:06:34.893413,152
149, 9 ,2020-10-21 17:06:40.701429,153
150,14,2020-10-21 17:06:42.770512,154
151,15,2020-10-21 17:06:46.258256,155
152,34,2020-10-21 17:06:48.221539,156
153,13,2020-10-21 17:06:51.580497,157
154,18,2020-10-21 17:06:56.473542,158
155,10,2020-10-21 17:07:01.990596,159
156, 6 ,2020-10-21 17:07:11.199180,160
157,22,2020-10-21 17:07:19.569403,161
158,15,2020-10-21 17:07:21.466277,162
159, 4 ,2020-10-21 17:07:24.711063,163
160,21,2020-10-21 17:07:26.453102,164
161,10,2020-10-21 17:07:28.769724,165
162,29,2020-10-21 17:07:35.779513,166
163,10,2020-10-21 17:07:42.925398,167
164, 8 ,2020-10-21 17:07:45.474832,168
165,10,2020-10-21 17:07:47.544182,169
166,19,2020-10-21 17:07:49.803156,170
167,30,2020-10-21 17:07:54.175002,171
168, 7 ,2020-10-21 17:07:56.763288,172
169,12,2020-10-21 17:07:59.714272,173
170,10,2020-10-21 17:08:02.741111,174
171,27,2020-10-21 17:08:04.618085,175
